PORT_ID,SEQ,TITLE,CONTENT
000804,90,Location name,Chania
000804,2250,Intro - CRU,Chania doesn&#8217;t just have one specialised subject. This region on Crete&#8217;s north coast has brushed up on beaches history geography and cookery. Blue Flags skewer the stretches of sand in this part of Crete the old town is said to be the prettiest in Greece the Samaria Gorge is protected as a World Biosphere Reserve and the menus in the harbour restaurants do justice to classic Greek dishes like bourkei pastries and Cretan pilaf.<br /><br />&#8226; Most visitors head up to the mountain village of Archanes under the pretext that they&#8217;re going to see the Minoan ruins. But really they&#8217;re there to try the local wine that&#8217;s renowned across Greece.<br />&#8226; Just over an hour&#8217;s drive from Chania a 16-kilometre cleft dissects the Cretan countryside. The Samaria Gorge is best explored on-foot via one of the trails that criss-cross their way through the reserve.
000013,90,Location name,St Johns
000013,2250,Intro - CRU,If you&#8217;re a big fan of the beach prepare to lose your heart to this place. Antiguans like to boast they have a different one for every day of the year. Without doubt porcelain palm-fringed sands and still turquoise waters are the star of this island show. But that&#8217;s not all Antigua&#8217;s got to boast about. Get ready for towns in a rainbow riot of colours. Quiet countryside that slumbers in the sunshine. And cuisine as sublime as those moon-white shores.<br /><br />&#8226; Sink your toes into soft sand and wade through waters too blue to be true. A good place to head is Runway Beach where youll find a long list of watersports and a lively beach bar.<br />&#8226; Hit the shops in St John&#8217;s Antigua&#8217;s bright and breezy capital. Plump for island crafts or up the spending in the duty-free complexes.<br />&#8226; Get up close to the stingrays at the Stingray City Antigua. More than 30 rays call this place home and youll be able to climb into the water to touch feed and play with the animals.<br />&#8226; Head out to Great Bird Island - its great snorkelling territory. In particular keep an eye out for the starfish and stingrays.
001913,90,Location name,Havana
001913,2250,Intro - CRU,It&#8217;s hard to do Havana justice in words. It&#8217;s a city that feels like a film set thanks to its vintage Cadillacs and candy-coloured old town. Sitting still simply isn&#8217;t an option in Cuba&#8217;s capital &#8211; there&#8217;s so much to see. It&#8217;s packed with 19th-century cigar factories Renaissance mansions and galleries telling the story of the Revolution. And at night the city transforms into a haze of mojitos and salsa music.<br /><br />&#8226; It&#8217;s easy to lose yourself in the labyrinth of Habana Vieja. The UNESCO-protected old town cocoons Spanish mansions and plazas lined with grand old churches.<br />&#8226; Ernest Hemingway penned a considerable chunk of For Whom The Bell Tolls at the Hotel Ambos Mundos. Peek inside and you&#8217;ll see the author&#8217;s old typewriter.<br />&#8226; There&#8217;s a lot to discover in the galleries of the Museum of the Revolution. Highlights include the yacht that brought Che and co over to kick-start the revolution and an exhibition detailing the alleged attempts on the leader&#8217;s life. More comical plots include exploding cigars and poisoned diving suits.<br />&#8226; For amazing views of the city take the lift to the top of the Jos&#233; Mart&#237; Memorial in Revolution Square Havana&#8217;s political hub.
000718,90,Location name,Corfu Town
000718,2250,Intro - CRU,Awash with colourful flowers Corfu is big on beauty. It&#8217;s known as the Emerald Isle and its golden beaches lush green landscape and colourful villages will have you constantly reaching for your camera.<br /><br />&#8226; Soak up the views at Bella Vista Corfu&#8217;s most famous lookout point. From here you can peer over sleepy seaside villages like Paleokastritsa and the island&#8217;s entire west coast.<br />&#8226; In Corfu Town itself stand in the shadow of two gigantic fortresses. See the 16th-century church of Ayios Spyridhon. And then wander round the interesting archaeological museum.<br />&#8226; Relax on the shimmering sands of Glyfada beach one of the most popular sunning spots on the island. Top up your tan. Take a dip in the crystal waters. Or simply laze beneath a hot sun.
001002,90,Location name,Gibraltar
001002,2250,Intro - CRU,Affectionately known as Gib or The Rock Gibraltar is a little slice of Britain in the Mediterranean. And just like the motherland it&#8217;s a small stretch of land with a lot to offer. The history here is largely military-related &#8211; you&#8217;ll find Nelson&#8217;s anchorage where the body of Nelson was brought back to land after the Battle of Trafalgar and the Parson&#8217;s Lodge Battery that dates back to 1875. Elsewhere wildlife steals the show. Check out the cheeky Barbary apes or go whale-watching in the Strait.<br /><br />&#8226; Explore the Rock&#8217;s famous attractions like the Moorish Castle and the fascinating Gibraltar Museum where you can learn about the island&#8217;s role in the World Wars as well as its prehistory.<br />&#8226; Catch a bus or a taxi to Europa Point and see where ancient sailors arrived thousands of years ago.<br />&#8226; Inside the Rock you&#8217;ll find more miles of road than on the outside. Check out the Great Siege Tunnels and St Michael&#8217;s Cave.<br />&#8226; Make the most of the duty-free shopping then head to the marina for a taste of tapas or some good old fish and chips.
000666,90,Location name,Piraeus (for Athens)
000666,2250,Intro - CRU,Trip over reminders of the past in ancient Athens where cultural treasures twinkle back at you at every turn. It&#8217;s a real gold medal winner of a city. <br /><br />&#8226; Scale the heights of the sun-bleached Acropolis for awesome views then take a look at the Parthenon perched atop Athens&#8217; most famous hill. <br />&#8226; Explore Plaka the Medieval quarter at the foot of the Acropolis. The 19th-century lanes are crammed with tavernas and twist and turn to meet the equally atmospheric Monastiraki street markets. <br />&#8226; From old to new &#8211; take a wander round the up-market Kolonaki district which is packed with chic boutiques and ritzy restaurants. <br />&#8226; Be in Syntagma &#8211; or Constitution - Square in time to see the skirted soldiers perform the changing-of-the-guard. <br />&#8226; Check out the Corinth Canal which connects the Gulf of Corinth with the Saronic Gulf. This waterway was considered one of the greatest technological achievements of its time.
000531,90,Location name,Lisbon
000531,2250,Intro - CRU,Portugal&#8217;s electric capital stands shoulder to shoulder with the likes of Madrid and Barcelona. You&#8217;ll find clusters of cocktail lounges in the Bairro Alto neighbourhood. In Chiado meanwhile lies the world&#8217;s oldest book store. The old town showcases a cosmopolitan caf&#233; culture with locals gathering in sun-dappled plazas to gossip over an espresso or &#8216;bica&#8217;. <br /><br />&#8226; Stroll through tram-clattering cobbled streets taking in gems like Jeronimos Monastery and Belem Tower an ancient castle guarding Lisbon&#8217;s harbour.<br />&#8226; Make a beeline for Alfama the ancient Arab quarter and haggle for take-home trinkets in its atmospheric Thieves Market.<br />&#8226; Fall in love with the town of Sintra. Loved by Portuguese royalty and English nobility its thick forests and surrealist architecture are a refreshing contrast from urban Lisbon.
000654,90,Location name,Civitavecchia (for Rome)
000654,2250,Intro - CRU,Few cities on earth have the power to bowl you over quite like Rome. Discover a city packed with historical wonder artistic splendour and culinary temptation at every turn. Not to mention enough designer shops to keep you browsing for a year.<br /><br />&#8226; Relive the days of the gladiators at the eye-popping Colosseum. Big enough to hold 50000 bloodthirsty spectators it&#8217;s stood the test of time and remains Rome&#8217;s most famous landmark.<br />&#8226; All pillars and triumphal arches the Roman Forum is another ancient showstopper. Wander among its ruins &#8211; it&#8217;s like leafing through the pages of a living history book.<br />&#8226; Head for the Vatican City the heart of the Catholic Church. Feast your eyes on treasures like St Peter&#8217;s Basilica the Vatican Museums and the Sistine Chapel where Michelangelo&#8217;s ceiling masterpiece awaits you.<br />&#8226; Stroll down Rome&#8217;s most exclusive shopping street the &#252;ber-chic Via Condotti. Here you can hit the shops taking in big name boutiques like Fendi Valentino and Gucci. Stop for a caffeine fix at Caffe Greco a Victoriana-fest of a coffee house.<br />&#8226; Follow the Da Vinci trail across the city calling in at the Baroque beauty that is Piazza Navona and the citadel-fortress of Castel Sant&#8217;Angelo.<br />&#8226; Drop it down a gear with a bike ride around Rome&#8217;s most famous park the Villa Borghese. Dotted with follies and fountains its paths and avenues weave between great oaks and umbrella pines.<br />&#8226; Sit yourself down on the Spanish Steps and take five. It&#8217;s the ideal spot to write a postcard home or simply people-watch in the sunshine.<br />&#8226; And of course toss a wish-coated coin in the Trevi Fountain to ensure your return to the Eternal City.
000867,90,Location name,Argostoli
000867,2250,Intro - CRU,It&#8217;s no wonder the makers of Hollywood blockbuster Captain Corelli&#8217;s Mandolin chose Kefalonia as one of the film&#8217;s backdrops. The island is all tree-studded hills which look out over pale beaches which roll into perfectly-blue waters. There&#8217;s a mix of village life inland. Skala for example is popular with holidaymakers and is kept lively with late-night bars. Lourdas on the other hand revolves around a sleepy main square.<br /><br />&#8226; Drogarati Caves are a must-see. The twisty maze of stalagmites and stalactites is thought to be more than 150 million years old. Thanks to the cave&#8217;s natural acoustics music concerts have been staged here. <br />&#8226; In Fiskardo Venetian-style buildings wrap around a dinky harbour. Head for one of the waterfront caf&#233;s and watch the world go by. <br />&#8226; The restored Monastery of St Andreas showcases 16th-century frescoes. They were hidden under plastered walls until a huge earthquake in 1953 which destroyed the church and unveiled the artwork.
000543,90,Location name,Langkawi
000543,2250,Intro - CRU,There&#8217;s a paradisal quality to Langkawi which is anchored off the west coast of Malaysia in the Andaman Sea. Things are pretty laidback in the island&#8217;s premier town Kuah which has a waterfront that&#8217;s home to family-run shops and rustic bars plus a huge statue of a swooping red eagle. In the north you can take boat trips into vast cave networks and the centre of the island&#8217;s dominated by rice paddies and the tree-draped Gunung Raya Mountain. Sleepy fishing villages are dotted around the unspoiled coastline with meringue-white beaches punched between them.<ul><li>If you&#8217;ve got a head for heights take the Langkawi Cable Car to the top of the Gunung Machinchang Mountain. Soak up the views from the peak and the Langkawi Sky Bridge. This suspended walkway curves high above the leafy canopy and offers the best panoramas of the island.</li><li>Tanjung Rhu delivers one of the best sunbathing scenes in Langkawi. Rocky islands out to sea are like a scaled-down version of Vietnam&#8217;s Halong Bay and you can explore limestone caves and mangroves when you&#8217;re not on the pale sands.</li><li>At Telaga Tujuh Waterfalls you&#8217;ll be able to dip your toe in Langkawi&#8217;s top-rated natural attraction. The name translates as &#8216;Seven Wells&#8217; but what you get is a series of pools and channels with waterfalls trickling between them.</li></ul>
000545,90,Location name,Penang
000545,2250,Intro - CRU,Penang is often said to be Malaysia&#8217;s most popular destination. And with its melting pot of cultures and top-notch food scene it&#8217;s easy to see why. You&#8217;ll disembark into UNESCO-accredited Georgetown. You can do your sightseeing on foot here or hire a rickshaw to trundle around in. However you choose to explore you&#8217;ll get a feel for the rich history of the town which has left its mark in the form of picture-perfect Chinese and colonial architecture.<ul><li>Try traditional Malaysian food on Macalister road. This place has earned itself a reputation as a hotspot for foodies as it&#8217;s lined with restaurants and street food stalls. Make sure you taste some char kway teow a stir-fried dish with flat noodles.</li><li>Take the funicular railway up to Penang Hill &#8211; the track&#8217;s the longest of its kind in Asia. Once you reach the top step out onto one of the observation decks for panoramic views over Penang City.</li><li>Browse the stalls at the Lorong Kulit Flea Market. Whatever you&#8217;re looking to buy you&#8217;ll find it here &#8211; this place offers up an eclectic selection of goodies. Plus the prices are bargain hunter-friendly.</li></ul>
000570,90,Location name,Valletta
000570,2250,Intro - CRU,As your ship cruises into Valletta a magical skyline of soaring steeples and bulbous church domes rises to greet you. This is Maltas quintessential capital a captivating city steeped in history.<br /><br />&#8226; Stroll the colourful streets of Valletta taking in sights like the Grandmasters Palace the House of Parliament and Castille Palace.<br />&#8226; Visit Mdina the islands old capital. Its an impressive walled city dripping in Medieval and Baroque architecture. They call it the Silent City because cars are forbidden. Carriage-laden horses trotting through the streets and the gentle chatter of Mdinas inhabitants are the only sounds likely to pierce the sleepy calm.<br />&#8226; Take a boat ride to the spellbinding Blue Grotto an impressive 50 metre-deep cave.<br />&#8226; Sit back and relax on a boat trip around Valletta&#8217;s two natural harbours. The waters here have seen their fair share of naval action standing by as both Napoleon and Nelson staked their claims to them.
000676,90,Location name,Sorrento
000676,2250,Intro - CRU,Despite being surrounded by groves of bitter lemons Sorrento is one of Italy&#8217;s sweetest cities. Red-roofed buildings balconied apartments and yawning piazzas characterise the centre of town. Elsewhere the waterfront is defined by 2 sand and shingle beaches and the fishing boats that pogo on the waves not far from the shore.<br /><br />&#8226; Duck into Villa Comunale Park. It&#8217;s the largest park in Sorrento and it serves up the sort of views of the Amalfi coast that guidebook writers use to illustrate their articles.<br />&#8226; From the Circumevesuviana station a few metres south east of Piazza Tasso you can catch the train to the historical city of Pompeii which was deluged by ash when Vesuvius erupted in 79 AD.<br />&#8226; If you catch the ferry from Sorrento you can be in Capri in under an hour. The life lived on this island is high and shopping and fine dining top most people&#8217;s priority lists.
000945,90,Location name,Skiathos Town
000945,2250,Intro - CRU,With over 60 beaches tree-drenched hillsides and seas seemingly plucked straight from the Caribbean Skiathos definitely knows how to turn on the charm. Once a sleepy Greek island it shot to fame as the location for the ABBA-inspired movie Mamma Mia! Nowadays there&#8217;s a real mix of old and new as traditional tavernas rub shoulders with a trendy new crowd of jazz clubs and cocktail bars.<ul><li>Wander around Skiathos Town with its splashes of cerulean-blue and huddles of local shops selling equally colourful hand-painted ceramics.</li></ul><ul><li>Head to the Bourtzi Peninsula. It used to be a fort and is now connected to the town by a slim bridge. Out here you&#8217;ll find a cultural centre nestled within clusters of pine trees a charming caf&#233; perched by the water&#8217;s edge and incredible views that stretch across ocean.</li></ul><ul><li>Catch a bus to Koukounaries one of the most photographed beaches in the Aegean. Just a half hour ride away from the town this vanilla-coloured stretch is known for its extremely fine sand and transparent water.</li></ul>
001723,90,Location name,Almeria
001723,2250,Intro - CRU,A wide tree-lined avenue splits Almeria in half. To the west you&#8217;ll find the Medieval buildings of the old town while on the east side the new town is home to boutiques and art galleries. There&#8217;s plenty in daytripping distance too from Cabo de Gata Natural Park and the Tabernas Desert to Granada&#8217;s impressive Alhambra Palace.<br /><br />&#8226; Visit the Alcazaba Almeria&#8217;s version of the Alhambra. Built back in the 10th century the complex includes watchtowers and a castle and has sweeping views over the city. <br />&#8226; If natural beauty is on your sightseeing ticklist head for Cabo de Gata Natural Park &#8211; it&#8217;s home to volcanic mountains sand dunes and flamingo-flecked salt pans.<br />&#8226; Nestled in the foothills of the Sierra Nevada the Alhambra Palace is the oldest and best-preserved Arabic palace in the world and a must-see in these parts.
001447,90,Location name,Colombo
001447,2250,Intro - CRU,Colombo is a city in transition where classic architecture is learning to share the streets with modern cloud-piercing arrivals. The Fort neighbourhood blends skyscrapers with British and Dutch colonial buildings like the Town Hall and the General Post Office. In the Pettah district you&#8217;ll come across hectic market streets where you can haggle for clothes fruit and souvenirs. Tuk-tuks trundle between the stalls and green-tinted Beira Lake is just around the corner. Down at the waterfront the pretty Galle Face promenade rolls out beside the Indian Ocean.<ul><li>Cricket&#8217;s a way of life in Sri Lanka and one of the country&#8217;s top grounds is in the heart of Colombo. The R Premadasa Stadium has hosted hundreds of international matches and can fit more spectators than London&#8217;s iconic Lords Cricket Ground.</li><li>Viharamahadevi Park is a welcome slice of green in Colombo&#8217;s urban centre. Take a stroll along the pathways and you&#8217;ll see a giant Buddha statue ornate water fountains and a mini-zoo.</li><li>The National Museum of Colombo has the biggest collection of artefacts and exhibits in the country. The whitewashed building&#8217;s finished in a Neoclassical style and inside you&#8217;ll find items like the throne and crown of historic Kandyan kings.</li></ul>
001218,90,Location name,Basseterre
001218,2250,Intro - CRU,One of the British Leeward Islands St Kitts is one of the Caribbean&#8217;s pearls. Once an illustrious sugar colony it now focuses its efforts on being a tropical paradise. And it excels in every sense with its seductive blend of blonde sands and duck-egg blue seas. Away from the shores though you&#8217;ll find plenty of historic sights to tick off your checklist. Or why not pop across to the neighbouring island of Nevis which is just three kilometres over The Narrows channel?<br /><br />&#8226; Hop on a train at the Needsmust Station and St Kitts Railway will take you on a tour of the island&#8217;s best bits. You&#8217;ll chug over ravines 300-feet-deep circle Mount Liamuiga volcano and take a sneak peek at the island&#8217;s black-sand beaches.<br />&#8226; Soak up the jaw-dropping views over lush sugarcane fields from the 17th-century Brimstone Hill Fortress. Once known as the Gibraltar of the West Indies this major British garrison was abandoned in 1850. Now it&#8217;s been restored back to its grand former self with cannons swords and the like all on display.<br />&#8226; Sunbathe your way through the day on one of St Kitts&#8217; beaches. There&#8217;s a selection of white sand spots like Turtle Beach and black sand spaces like Pump Bay. Alternatively see if the grass is greener on the other side of The Narrows Channel. This is where St Kitts&#8217; tropical sister island Nevis simmers in the sea.
000396,90,Location name,Stockholm
000396,2250,Intro - CRU,Spread out across 14 islands spotless Stockholm is an enchanting slice of Scandinavia. Bursting with museums galleries bars and restaurants there&#8217;s never a dull moment in this spellbinding city.<br /><br />&#8226; Explore the quaint cobbled streets of the old town and stumble upon the splendid Royal Palace surrounded by grand houses and elegant boutiques.<br />&#8226; Discover some of the city&#8217;s museums. There are 70 in total the two favourites being the National Museum of Art and the Vasa Museum.<br />&#8226; Flex your credit card in the city&#8217;s legendary shopping districts. Then spoil yourself rotten with a traditional Swedish massage in a gorgeous Art Nouveau spa.<br />&#8226; Hop on a canal boat and explore Stockholm from the water. At least 50 bridges criss-cross their way around the city linking 14 islands.
CL0392,90,Location name,Scarborough
CL0392,2250,Intro - CRU,A bustling city seeped in history Tobago&#8217;s capital offers up a snapshot of days gone by. Sprawled over the hillside it&#8217;s overlooked by the Fort King George a 17th-century hideout that sits proudly at the summit. Wander through the town to Upper Scarborough and take a look at the House of Assembly &#8211; it&#8217;s one of the best examples of Georgian architecture in the Caribbean. Head down by the port and you&#8217;ll find colourful houses lining the harbour and lively markets dominating the streets. Here you can pick up island favourites like fresh coconut milk and syrup-coated ice-cream as well as arts and crafts.<br /><br />&#8226; Hike up the hillside to Fort King George. You&#8217;ll find a museum in the Barrack Guard House filled with Amerindian artefacts and military relics. The view of the harbour from up here is well worth the legwork too.<br />&#8226; Lose yourself in the Scarborough Botanical Gardens. Spread over 17 acres and filled with exotic plants and shrubs it&#8217;s definitely worth a look. Make sure you pay a visit to the native orchid house as well.<br />&#8226; Spend some time relaxing at Pigeon Point. With its white sands nodding palms and turquoise waters it&#8217;s arguably the most beautiful beach on the island. Plus it boasts a restaurant a cocktail bar and all sorts of watersports.<br />&#8226; More than 200 species of mammals and birds call Tobago Forest Reserve home. Hummingbirds armadillos and tiny tree frogs camouflage themselves among the streams waterfalls and waxy plants.
001610,90,Location name,Las Palmas
001610,2250,Intro - CRU,Golden dunes drenched in year-round sunshine. Rugged mountains hiding pretty whitewashed villages. Bays and coves linked together like a magnificent sandy necklace. Nature&#8217;s been kind to Gran Canaria so little surprise it lures sun-worshippers back year after year.<br /><br />&#8226; Take a trip to the Bandama crater. Standing over 3000ft high it&#8217;s one of the few inhabited volcanic craters in the world. <br />&#8226; Discover the island&#8217;s cosmopolitan capital Las Palmas where chic boutiques and tempting tapas bars are tucked in among some breathtaking architecture. In the old town or Veguetta district you&#8217;ll come across the Christopher Columbus Museum which is well worth a visit too. <br />&#8226; Feast your eyes on the incredible wind-sculpted sand dunes of Maspalomas. Then pick a patch of sand and soak up the sun.
000483,90,Location name,Singapore
000483,2250,Intro - CRU,Multi-cultural cuisine old and new architecture natural and manmade attractions &#8211; Singapore is a real melting pot. Here markets sit in the shadows of designer malls and sky-high hotels tower over temples. But this is the City in a Garden so the green to grey ratio&#8217;s higher than usual. The island nation&#8217;s freckled with parks rainforests and futuristic vertical gardens. Run your finger along the waterfront and you&#8217;ll find Sentosa Island &#8211; a resort dedicated to theme parks beaches and animal encounters.<ul><li>Take up a spot on the SkyPark deck at Marina Bay Sands. It&#8217;s a great place for snapping the city-state&#8217;s giant supertrees in all their glory.</li><li>Feast on steaming bowls of curry or laksa at a hawker centre. The stalls cover Malaysian Chinese and Indian flavours. If you&#8217;re having trouble picking look for the one with the longest line.</li><li>Get up close to wildlife at Singapore Zoo. This 64-acre site blurs the line between zoo and rainforest with big natural enclosures. You can combine it with visits to the River Safari and Jurong Bird Park too.</li></ul>
000446,90,Location name,Bodrum
000446,2250,Intro - CRU,Bodrum is a bit like St-Tropez only with belly dancers. Yachts slide into the town&#8217;s twin harbours mooring in front of smart waterfront restaurants and wood-decked beach clubs call out to the beautiful crowd. The scenery is postcard-pretty too. Think whitewashed houses framed by bougainvillea and olive-green hillsides that melt into the Aegean. <br /><br />&#8226; If you head out of town you can visit Bodrum&#8217;s iconic windmills. These top hat-shaped buildings serve up bird&#8217;s-eye views of the Bodrum peninsula.<br />&#8226; In centuries gone by traditional Turkish gulet ships were used to transport citrus fruit around the Aegean. Today the vessels carry sunseekers to the best swim and snorkel spots on Turkey&#8217;s coast.<br />&#8226; For a real treat pay a visit to a Turkish hammam. Soak in the steam then head to a treatment room for a traditional soap massage.
001628,90,Location name,Malaga
001628,2250,Intro - CRU,Set on the sun-drenched Costa del Sol Malaga is a Moorish delight. During the Arab occupation of Spain the city was the principal port of the Moorish kingdom of Granada. So what does that mean for you? It means the city of Granada and its striking Alhambra Palace are just a short drive away. Prepare to be blown away.<br /><br />&#8226; See Malaga&#8217;s 16th-century cathedral. It&#8217;s known as &#8216;La Manquita&#8217; or &#8216;one-armed woman&#8217; because lack of funds meant only one of the two planned towers was completed. <br />&#8226; Take in the views from the Alhambra Palace in Granada. This pink-gold Arabian-style building sits on a hilltop surrounded by the Sierra Nevada Mountains. <br />&#8226; The caves in Nerja an elegant old town on the edge of a cliff are among the largest and most spectacular in Europe.
001673,90,Location name,Santa Cruz
001673,2250,Intro - CRU,On the one hand youve got snow-capped peaks on the other sun-baked beaches. Neon-lit strips a stones throw from natural masterpieces. Tenerifes got contrasts aplenty. For sheer fun and plenty of sun its pretty hard to beat.<br /><br />&#8226; Head to Loro Parque the islands award-winning wildlife park whose residents include parrots dolphins sealions and gorillas.<br />&#8226; Explore Santa Cruz. Splash the cash in the citys superb range of shops or take your pick of tapas bars and enjoy a long lazy al fresco lunch.<br />&#8226; Take a drive through the Orotava Valley stopping at the Humboldt viewpoint. You&#8217;ll be treated to panoramic views over the island&#8217;s vineyards and banana plantations.
001984,90,Location name,Oranjestad
001984,2250,Intro - CRU,Nowhere showcases Aruba&#8217;s Dutch roots quite like Oranjestad. With its gable-topped houses and colonial clock towers the island&#8217;s capital is like a little slice of Amsterdam. It&#8217;s got some typically Caribbean credentials too &#8211; expect cushiony sands that stretch on for miles and underwater spots that are great for snorkelling. Plus all along the coast you&#8217;ll find ramshackle beach bars serving up fresh seafood and rum cocktails.<br /><br />&#8226; Check out the Casibari Rock a natural formation that&#8217;s a result of strong trade winds. Climb to the top and you&#8217;ll be rewarded with panoramic views of the island.<br />&#8226; Head to De Palm Island to explore the underwater depths. Set just off the Aruban coastline this private reef is home to a huge variety of exotic sea life.<br />&#8226; Explore the castle-like ruins of the Bushiribana Gold Mill. This place was at the centre of Aruba&#8217;s 19th-century gold rush and is well worth a chunk of your time for its Medieval looks alone.
000613,90,Location name,Amsterdam
000613,2250,Intro - CRU,Criss-crossed by bridges and canals Amsterdam is known as the Venice of the north. But its waterways are not all it&#8217;s famous for. In fact mention the name of The Netherlands capital city and you&#8217;ll get a whole list of associations. Clogs cheese and windmills top the list followed closely by World War history cutting-edge art and coffee shops. One thing&#8217;s for sure when you join the millions of tourists that flock to the city every year you won&#8217;t have to look hard to find something that interests you.<br /><br />&#8226; Sit back and relax onboard Amsterdam&#8217;s most traditional mode of transport &#8211; a canal boat. Pleasure cruises have been running up and down the city&#8217;s waterways since 1621.<br />&#8226; Discover the secret hideout where Anne Frank and her family hid from the Nazis during the Second World War. The tiny annex is now part of a museum where you can follow the Franks&#8217; story from the beginning to the tragic end.<br />&#8226; Cast an eye over the paintings of one of the 20th century&#8217;s most influential artists. The Vincent Van Gogh museum showcases a selection of the painter&#8217;s work including the famous Sunflowers still life.
000622,90,Location name,Reykjavik
