EXCURSION_ID,SEQ,TITLE,CONTENT
994765,80,Intro,The clear warm waters that surround the Cayman Islands offer up some of the best snorkelling conditions in the world and this trip gives you twice as many chances to dive in. To start with you&#8217;ll board a motor cruiser and head out over the waves to explore the island&#8217;s most famous attraction &#8211; Stingray City. Thousands of friendly stingrays call this shallow sandbank home and you&#8217;ll be able to swim and snorkel with them. In fact at any one time you&#8217;ll be surrounded by up to two dozen of these fascinating creatures. Then it&#8217;s on to your next stop &#8211; Grand Cayman&#8217;s multicoloured Barrier Reef. Teeming with tropical fish turtles sea horses and kaleidoscopic coral formations this underwater wonderland is a snorkeler&#8217;s paradise. Jump in for your second underwater exploration of the day.
994765,85,Intro - ticket booklets,The clear warm waters that surround the Cayman Islands offer up some of the best snorkelling conditions in the world and this trip gives you twice as many chances to dive in. First up you&#8217;ll head out over the waves to explore the island&#8217;s most famous attraction &#8211; Stingray City. Thousands of friendly stingrays call this shallow sandbank home and you&#8217;ll have the chance to take a dip with them. Then it&#8217;s on to your next stop &#8211; Grand Cayman&#8217;s multicoloured Barrier Reef. Teeming with tropical fish turtles sea horses and kaleidoscopic coral formations this underwater wonderland is a snorkeler&#8217;s paradise.
994765,100,Excursion duration,3.5hrs
994765,118,Maximum Participation,50
994766,20,Unit Name,Cayman Cultural Express
994766,80,Intro,This half-day tour lets you get to grips with Grand Cayman&#8217;s main cultural hotspots in one fell swoop. After leaving from the pier in an air-conditioned coach you&#8217;ll take a scenic drive along the south coast as your guide fills you in on the history of the island and its people. Your first stop is Pedro&#8217;s Castle &#8211; an 18th-century plantation house that went on to serve as the meeting place for Grand Cayman&#8217;s first elected parliament. After a guided tour you&#8217;ll head on to the original capital of the Cayman Islands &#8211; Bodden Town. Here you&#8217;ll stop at the Botanical Gardens. This real-life Garden of Eden is bursting with exotic plants and reptiles &#8211; even the endangered blue iguana lives here. Once you&#8217;ve had a good stroll around the grounds it&#8217;s time to head back to the pier and meet your ship.
994766,85,Intro - ticket booklets,This one lets you get to grips with Grand Cayman&#8217;s main cultural hotspots in one fell swoop. Things kick off with a guided drive along the south coast of the island. Your first stop is Pedro&#8217;s Castle &#8211; an 18th-century plantation house that went on to become the meeting place for Grand Cayman&#8217;s first elected parliament. Then it&#8217;s on to the original capital of the Cayman Islands &#8211; Bodden Town. Here we&#8217;ll call in at the Botanical Gardens home to the endangered blue iguana. Once you&#8217;ve had a good stroll around the grounds it&#8217;s time to head back to port.
994766,100,Excursion duration,3hrs
994766,118,Maximum Participation,40
994767,20,Unit Name,Tiki Beach Getaway
994767,80,Intro,Relaxation is the name of the game on this half-day tour. After a short coach journey you&#8217;ll arrive at Tiki Beach &#8211; an exotic ribbon of ice-white sand and aquamarine waters that makes up part of the world-famous Seven Mile Beach. You&#8217;ll be met with a fruit or rum punch and be given a quick lowdown on the area. Then your time&#8217;s your own to get comfy on a sun lounger take a dip or opt for a more active afternoon and make the most of the watersports on offer. You&#8217;ll find jet skis and kayaks for hire as well as snorkelling and diving expeditions down by the shore. The coast here is bursting with marine life so it&#8217;s a fantastic spot to slip on your flippers. On the way back to the port there&#8217;ll be an optional drop-off in Georgetown if you fancy a bit of shopping.
994767,85,Intro - ticket booklets,Relaxation is the name of the game on this half-day tour. After a short coach journey you&#8217;ll arrive at Tiki Beach &#8211; an exotic ribbon of ice-white sand and aquamarine waters that makes up part of the world-famous Seven Mile Beach. You&#8217;ll be met with a fruit or rum punch and be given a quick lowdown on the area. Then your time&#8217;s your own to get comfy on a sun lounger take a dip or opt for a more active afternoon and make the most of the watersports on offer. You&#8217;ll find jet skis and kayaks for hire as well as snorkelling and diving expeditions down by the shore. The coast here is bursting with marine life so it&#8217;s a fantastic spot to slip on your flippers. On the way back to the port there&#8217;ll be an optional drop-off in Georgetown if you fancy a bit of shopping.
994767,100,Excursion duration,3.5hrs
994768,20,Unit Name,4x4 Adventure
994768,80,Intro,If you fancy getting off the beaten track and exploring the wild side of Grand Cayman this adventure tour is a great option. You&#8217;ll climb aboard your off-road vehicle and set off convoy-style heading north for your first stop at Morgan&#8217;s Harbour. Mother Nature really excelled herself here &#8211; a natural channel flows through a colourful barrier reef and the water is teaming with marine life. Next up is Baker&#8217;s National Park. A natural wonderland of mangrove swamps mountains rivers and lakes this beautiful stretch of countryside is home to the rare Blue Iguana &#8211; keep your eyes peeled and you might just spot one. Then it&#8217;s on through local neighbourhoods calling in at the popular Turtle Farm and a still-working rum factory en route to &#8216;Hell&#8217; &#8211; a dramatic black limestone rock formation. Finally you&#8217;ll wind down at the pristine Tiki Beach where there&#8217;ll be a chance to swim and snorkel before heading back to the ship.
994768,85,Intro - ticket booklets,If you fancy getting off the beaten track and exploring the wild side of Grand Cayman this 4x4 adventure is a great option. You&#8217;ll climb aboard your off-road vehicle and set off convoy-style heading north for your first stop at Morgan&#8217;s Harbour. Mother Nature really excelled herself here &#8211; a natural channel flows through a colourful barrier reef and the water is teaming with marine life. Next up is Baker&#8217;s National Park. A natural wonderland of mangrove swamps mountains rivers and lakes this beautiful stretch of countryside is home to the rare Blue Iguana &#8211; keep your eyes peeled and you might just spot one. Then it&#8217;s on through local neighbourhoods calling in at the popular Turtle Farm and a still-working rum factory en route to &#8216;Hell&#8217; &#8211; a dramatic black limestone rock formation. Finally you&#8217;ll wind down at the pristine Tiki Beach where there&#8217;ll be a chance to swim and snorkel before heading back to the ship.
994768,100,Excursion duration,4.5hrs
994768,118,Maximum Participation,10
994769,20,Unit Name,Glass Bottom Boat &amp; Island Tour
994769,80,Intro,This half-day tour lets you explore the amazing underwater world that surrounds the Cayman Islands without so much as getting your feet wet. You&#8217;ll sail over a colourful coral reef on a glass-bottomed boat spotting glittering schools of rainbow-coloured fish and fascinating eel gardens as you go. You&#8217;ll even get to take in a mysterious shipwreck now claimed by the sea and home to neon marine life. Once you&#8217;ve had your fill of offshore exploring it&#8217;s back to dry land for a sightseeing tour of Grand Cayman&#8217;s best bits. Journey along the coast in an air-conditioned coach until you reach the Governors House on Seven Mile Beach &#8211; a top photo spot. Then it&#8217;s onto the island&#8217;s most popular land-based attraction the Turtle Farm. Check out the nursery to see some just-hatched hawksbill turtles many of whom will be released into the sea when they get older. Lastly you&#8217;ll call in at &#8216;Hell&#8217; &#8211; a rocky outcrop so-called because of its dramatic black limestone formations.
994769,85,Intro - ticket booklets,This half-day tour lets you explore the amazing underwater world that surrounds the Cayman Islands without so much as getting your feet wet. You&#8217;ll sail over a colourful coral reef on a glass-bottomed boat spotting glittering schools of rainbow-coloured fish and fascinating eel gardens as you go. You&#8217;ll even get to take in a mysterious shipwreck now claimed by the sea and home to neon marine life. Once you&#8217;ve had your fill of offshore exploring it&#8217;s back to dry land for a sightseeing tour of Grand Cayman&#8217;s best bits. Journey along the coast in an air-conditioned coach until you reach the Governors House on Seven Mile Beach &#8211; a top photo spot. Then it&#8217;s onto the island&#8217;s most popular land-based attraction the Turtle Farm. Check out the nursery to see some just-hatched hawksbill turtles many of whom will be released into the sea when they get older. Lastly you&#8217;ll call in at &#8216;Hell&#8217; &#8211; a rocky outcrop so-called because of its dramatic black limestone formations.
994769,100,Excursion duration,3hrs
994769,118,Maximum Participation,30
994770,20,Unit Name,Parasail Adventure
994770,80,Intro,This adrenaline-pumping experience is the closest thing you&#8217;ll get to a bird&#8217;s-eye view without growing wings and taking off. After a short coach transfer to the island&#8217;s popular Seven Mile Beach you&#8217;ll head to the Watersports Centre for a short introduction to parasailing. Then you&#8217;re ready to get kitted out and join your boat for a journey out over the waves and up into the skies. You&#8217;ll reach heights of up to 400 feet as you&#8217;re towed along above your boat. Check out the alabaster sand and blue waters from a whole new perspective keeping a look out for your very own cruise liner as you glide along. As photo opportunities go it doesn&#8217;t get better than this. Back on solid ground your coach will be waiting to take you back to the port with an optional drop off in Georgetown on the way &#8211; perfect if you fancy hitting the shops.
994770,85,Intro - ticket booklets,This adrenaline-pumping experience is the closest thing you&#8217;ll get to a bird&#8217;s-eye view without growing wings and taking off. After a short coach transfer to the island&#8217;s popular Seven Mile Beach you&#8217;ll head to the Watersports Centre for a short introduction to parasailing. Then you&#8217;re ready to get kitted out and join your boat for a journey out over the waves and up into the skies. You&#8217;ll reach heights of up to 400 feet as you&#8217;re towed along above your boat. Check out the alabaster sand and blue waters from a whole new perspective keeping a look out for your very own cruise liner as you glide along. As photo opportunities go it doesn&#8217;t get better than this. Back on solid ground your coach will be waiting to take you back to the port with an optional drop off in Georgetown on the way &#8211; perfect if you fancy hitting the shops.
994770,100,Excursion duration,1.5hrs
994770,200,Just so you know,All rides are tandem and maximum combined weight is 375lbs. Children aged 16 or under must fly with a parent or guardian and the minimum age is 12.
994771,20,Unit Name,North Wall &amp; Stingray City Certified Dive
994771,80,Intro,If you&#8217;ve been around the scuba diving block a few times this advanced tour will give you something to get excited about. You&#8217;ll get to experience two of the most spectacular dive sites the Grand Cayman coast has to offer &#8211; North Wall and Stingray City. Your day kicks off with a scenic drive to the North Wall a stretch of coast that plays host to swarms of fish. In fact taking a dive here is like immersing yourself in a life-size tropical fish tank complete with twisting corals and ever-changing underwater theatrics. Next on the agenda is Stingray City the island&#8217;s most popular dive site and the setting for a series of National Geographic marine documentaries. This stretch of glass-clear water is spilling over with friendly Southern Stingrays and you&#8217;ll get to take a dive with these playful creatures.
994771,85,Intro - ticket booklets,If you&#8217;ve been around the scuba diving block a few times this advanced tour will give you something to get excited about. You&#8217;ll get to experience two of the most spectacular dive sites the Grand Cayman coast has to offer &#8211; North Wall and Stingray City. Your day kicks off with a scenic drive to the North Wall a stretch of coast that plays host to swarms of fish. In fact taking a dive here is like immersing yourself in a life-size tropical fish tank complete with twisting corals and ever-changing underwater theatrics. Next on the agenda is Stingray City the island&#8217;s most popular dive site and the setting for a series of National Geographic marine documentaries. This stretch of glass-clear water is spilling over with friendly Southern Stingrays and you&#8217;ll get to take a dive with these playful creatures.
994771,100,Excursion duration,3hrs
994772,20,Unit Name,Discover Scuba Dive
994772,80,Intro,Grand Cayman has got all the essential scuba diving ingredients &#8211; multicoloured reefs twisting coral gardens and eye-catching marine life. So if you&#8217;re thinking about taking a dive for the first time this place is a world-class spot to don your flippers. Your dive instructors will be on hand to meet you at the PADI-approved Reef Dives Centre and with a maximum of four pupils to one instructor you&#8217;re guaranteed plenty of one-on-one attention on this half-day tour. After a land-based briefing you&#8217;ll head down to the water&#8217;s edge to put the theory you&#8217;ve learned into practice. Then once you&#8217;re feeling confident of your newfound skills you&#8217;ll head out on an assisted dive to a shallow coral reef. Swim through glittering schools of fish and discover a whole new underwater world.
994772,85,Intro - ticket booklets,Grand Cayman has got all the essential scuba diving ingredients &#8211; multicoloured reefs twisting coral gardens and eye-catching marine life. So if you&#8217;re thinking about taking a dive for the first time this place is a world-class spot to don your flippers. Your dive instructors will be on hand to meet you at the PADI-approved Reef Dives Centre and with a maximum of four pupils to one instructor you&#8217;re guaranteed plenty of one-on-one attention on this half-day tour. After a land-based briefing you&#8217;ll head down to the water&#8217;s edge to put the theory you&#8217;ve learned into practice. Then once you&#8217;re feeling confident of your newfound skills you&#8217;ll head out on an assisted dive to a shallow coral reef. Swim through glittering schools of fish and discover a whole new underwater world.
994772,100,Excursion duration,3hrs
987316,20,Unit Name,Georgetown Bike Tour
987316,80,Intro,This trip will take you to Hell and back &#8211; literally. The final destination on this trip will be a limestone field that the locals call Hell. Rumour has it this piece of land the size of a football pitch got its name from the echoing sound it makes when a pebble is thrown onto it. Before you get to Hell though you have to cycle through heaven. After pedalling past the landmarks of Georgetown you&#8217;ll ride past Seven Mile Beach. The name of this stretch of sand sells it short. This white ribbon is actually longer than its name suggests. From here you&#8217;ll cycle on to West Bay and turn inland to see the salt ponds and mangrove forests. It&#8217;s at this point that you&#8217;ll finally head to Hell before you turn back to Seven Mile Beach for some free time on the sand.
987316,100,Excursion duration,4-5hrs
987316,118,Maximum Participation,6
987316,200,Just so you know,The cycling tour is about 18 miles long. You&#8217;ll need to collect your ticket directly from the Star Bikestations representative on board who will also be able to give you more information about the tour. The minimum age for this tour is 10 years old.
987604,20,Unit Name,Atlantis Submarine
987604,80,Intro,On this trip the phrase sub-standard views has a positive meaning. After boarding the Atlantis Submarine you&#8217;ll dive to a depth of 100 foot to explore the sea bed. This is deeper than any beginners&#8217; scuba dive would take you. From the portals on either side of your vessel you&#8217;ll be able to look out on Grand Cayman&#8217;s marine park. Shoals of mercury-coloured tarpon and schools of silverside fish make regular appearances in the water here as do muscly grouper fish. If you&#8217;re lucky you&#8217;ll also catch a stingray or a sea turtle cutting a course through the water. The highlight of the trip has to be the World Famous Cayman Wall. It boasts to be the best dive site in the world with a host of different coloured coral. And with moray eels lobsters and plenty of tropical fish its pretty impressive stuff.
987604,100,Excursion duration,1.5hrs
987604,118,Maximum Participation,24
987604,200,Just so you know,The minimum age for this tour is 4 years old and minimum height is 3 feet tall. Theres also a 10 step ladder to enter the submarine.
987605,20,Unit Name,Two Tank Certified Dive
987605,80,Intro,This scuba diving trip is just for certified divers. After boarding your custom-built dive boat you&#8217;ll plot a course to the seas off the east coast of the island. During the summer the water here is so warm that expert divers often dive without wetsuits. You&#8217;ll get the chance to explore 2 different dive sites on this trip. The sea on this side of the island squirrels away both shipwrecks and reefs and given the right conditions you&#8217;ll get to see both. The coral on this part of Grand Cayman counts flamingo tongue snails and reef squid as its regular customers. The shipwrecks meanwhile attract schools of silverside and meat-headed grouper fish. And wherever you go you can usually count on spotting a shoal of platinum-scaled tarpon.
987605,100,Excursion duration,3.5hrs
987605,118,Maximum Participation,8
987605,200,Just so you know,You&#8217;ll need to have your certification card and log book with you to take part in this trip. The minimum age for this tour is 12 years.
975197,20,Unit Name,Stingray City Sandbar with lunch
975197,80,Intro,It&#8217;s easy to see why this trip is often flagged up as Grand Cayman&#8217;s must-do tour. As interactive experiences go it&#8217;s as hands-on as it gets. First off you&#8217;ll depart by boat from the island&#8217;s yacht club and head out over the waves to the shallow Stingray City Sandbar. You&#8217;ll have a chance to wade into the glass-clear water &#8211; it&#8217;s only three feet deep at its shallowest point &#8211; and meet the friendly population of southern stingrays who call this stretch of coast home. In fact this place is so densely populated with these graceful creatures that National Geographic filmed a documentary on them here. You&#8217;ll get to swim and snorkel with the rays before heading back to a waterfront restaurant for lunch. Here the seafood&#8217;s as fresh as it gets and the marina views are unmatched.
975197,100,Excursion duration,3.5hrs
975197,118,Maximum Participation,40
995927,20,Unit Name,Charming Old Riga
995927,80,Intro,Get to know Latvia&#8217;s 813-year-old capital Riga on this great introductory tour. Things kick off in the old town with a trio of 13th-century churches &#8211; St Peter&#8217;s St George&#8217;s and St John&#8217;s. The wooden tower of St Peter&#8217;s used to be the highest in Europe why not pop back after your tour and ride the lift to the top - its observation deck offers up uninterrupted panoramic views of the city. Next up are a collection of different coloured medieval houses known as the &#8216;Three Brothers&#8217;. Examine the detailed exteriors at this Latvian Museum of Architecture. Then it&#8217;s on to the city&#8217;s most iconic sight the magnificent Dome Cathedral. Step through its lofty doors and you&#8217;ll come face-to-face with its organ &#8211; with almost 7000 pipes it was the biggest in the world when it was built back in the 19th century. The second part of this tour shows you Riga&#8217;s modern face. Passing through the leafy boulevards of the city centre you&#8217;ll tick off a host of 20th-century Art Nouveau architecture and the Freedom Monument which commemorates Latvian independence.
995927,100,Excursion duration,3.5hrs
995927,118,Maximum Participation,999
996020,20,Unit Name,Highlights of Riga - Easy on the Legs
996020,80,Intro,Easy On The Legs - Sit back and relax as we take you around the best bits of Riga. This tour is all done from the comfort of a coach &#8211; with a guide on hand to fill you in on the city&#8217;s story. Riga is a place studded with Art Nouveau buildings and Medieval architecture so it makes for some great photos. We&#8217;ll drive through the Old Town where you&#8217;ll see cloud-piercing church steeples and the 14th-century Powder Tower &#8211; the only remaining tower from the city&#8217;s ancient walls. Then it&#8217;s on to the Town Hall Square for a photo stop. It&#8217;s a romantic-looking place framed by tiered red-brick buildings. After this it&#8217;s back on the coach for a short drive to the Freedom Monument. This striking sight was built in 1935 to commemorate soldiers who died in the Latvian War of Independence. Lastly we&#8217;ll drive over the River Daugava for the best view of the Old Town.
996020,100,Excursion duration,2.5hrs
996020,118,Maximum Participation,999
996021,20,Unit Name,Ethnographic Open Air Museum - History &amp; Nature
996021,80,Intro,Arriving here is like taking a trip in the Tardis. You&#8217;ll be whisked back five centuries to see what Latvian life was like between the 16th and 20th centuries. You&#8217;ll wander past windmills fishermens huts through wooden churches and into ancient houses. And craftsmen and women are all on hand to bring this place to life with pottery and weaving demonstrations. With 90-or-so buildings assembled from the four provinces of Latvia this place is pretty impressive. In fact spread over 100 hectares it&#8217;s the biggest museum in the country. The whole trip lasts three and a half hours including the coach journey to the museum and back again to the harbour.
996021,100,Excursion duration,3.5hrs
996021,118,Maximum Participation,999
986331,20,Unit Name,Riga by Retro Tram &amp; Foot
986331,80,Intro,Riga is a place studded with Art Nouveau buildings and Medieval architecture so it makes for some great photos. And for a rather unique way of seeing it jump on a retro tram. In a nice small group you&#8217;ll make the short walk to the tram pick up point. Once onboard you&#8217;ll be whisked around town. Travelling through the beautiful boulevards keep an eye out for the National Opera House Basteja Hill and Freedom Monument. Atop an imposing white statue a lady holds three stars aloft &#8211; The Freedom Monument honours the soldiers that fought in the Latvian War of Independence. Your tram tour comes to an end in the old town. From here your guide will take you on a walking tour of the 813 year old capital city.
986331,100,Excursion duration,2.5hrs
986331,118,Maximum Participation,9
986332,20,Unit Name,Riga by Segway
986332,80,Intro,Here&#8217;s your opportunity to explore Latvia&#8217;s capital like no way before &#8211; by Segway. On the short bus journey towards Riga&#8217;s Old Town your guide&#8217;s on hand to point out the best bits around town. And to give you the low down on what to expect on your exciting segway tour. Don&#8217;t worry as you&#8217;ll be shown how to use your Segway so you can make the most of this tour. Once on your Segway youll follow your guide down the cobbled stone streets to the centre. With Riga showing you its historic highlights as you pass churches and towers on the way. And you&#8217;ll get to see the wooden tower of St Peter&#8217;s &#8211; which used to be the highest in Europe. Along the way there&#8217;ll be plenty of photo opportunities as well. Before returning to the ship you&#8217;ll get some free time in town to grab a souvenir or two.
986332,100,Excursion duration,2.5hrs
986332,118,Maximum Participation,5
986332,200,Just so you know,Riders must be at least 13 years old to join this tour.
989279,20,Unit Name,Relaxing Riga &amp; Tea
989279,80,Intro,This bus tour will lead you through the ancient streets of Riga the capital of Latvia and finish off with afternoon tea at a riverfront hotel. Almost half of Riga&#8217;s town centre is built in Art Nouveau style. These ornamental houses with their stained glass windows and flowery facades have planted the area firmly on the UNESCO World Heritage List. In Old Town you&#8217;ll see a cluster of buildings in Town Hall Square that includes the Medieval St Peter&#8217;s Church and the palatial House of the Blackheads. A short drive will take you to the waterfront Riga Castle before continuing to the towering Freedom Monument. The tour will end up across the river at the Hotel Islande where you&#8217;ll have time to tuck in to a tea of pastries and canap&#233;s. It&#8217;s all served up alongside views that stretch over Riga&#8217;s Old Town and right along the river to the cruise ship.
989279,100,Excursion duration,3hrs
989279,118,Maximum Participation,999
982166,20,Unit Name,Riga Bike Tour
982166,80,Intro,Gothic Art Nouveau and 19th-century wooden architecture mesh together in this UNESCO World Heritage Site of a city. In fact you can catalogue the history of the city from the 11th century to modern day in its buildings. There&#8217;s the Dome Cathedral for starters famed for its acoustics and giant organ. The Gunpowder Tower with its wizard hat-like top. And Riga Castle with it&#8217;s fairytale turrets and towers. This pedal-powered tour takes you past all the highlights before stopping for a break in the old town.
982166,100,Excursion duration,4-5hrs
982166,118,Maximum Participation,6
982166,200,Just so you know,This bike tour is about 10 miles long. You&#8217;ll need to collect your ticket directly from the Star Bikestations representative on board who will also be able to give you more information about the tour. The minimum age for this tour is 10 years old.
983133,20,Unit Name,Ibiza Bike Tour
983133,80,Intro,The island of Ibiza is most famous for its nightlife big clubs and party scene on the beaches. But it has a lot more to offer &#8211; like beautiful scenery charming little villages and secluded beaches. And a great way to explore and to slow the pace down that little bit more is on a bike tour. Follow your bike guide along the palm lined promenade to the charming old town. The narrow streets here are a real mixture of regal houses bars and cafes. With a few fancy art studios and souvenir shops thrown in for good measure. Heading out of town you&#8217;ll reach the Ses Salinas Nature Park on the south coast of the island. Here there&#8217;s time to relax at the beach before returning to town. Back in town you&#8217;ll make one more beach stop before returning to the port &#8211; it just wouldn&#8217;t seem right visiting Ibiza without visiting the lively beach of Bossa.
983133,100,Excursion duration,4-5hrs
983133,118,Maximum Participation,6
983133,200,Just so you know,The cycling tour is about 22 miles long. You&#8217;ll need to collect your ticket directly from the Star Bikestations representative on board who will also be able to give you more information about the tour. The minimum age for this tour is 10 years old.
991366,20,Unit Name,Taste of Ibiza
991366,80,Intro,A land scattered with historic sights exciting attractions and beautiful white sandy beaches Ibiza attracts plenty of visitors. On this great tour you&#8217;ll experience some of the island&#8217;s beauty for yourself. Leaving the pier behind your first stop is Es Cubells - a quiet bay where you&#8217;ll enjoy a magnificent view of the sea and the neighbouring island of Formentera. Next is Cala D&acute;Hort a well hidden sandy cove where you&#8217;ll have time for strolling and soaking up views of the mystical island &#8216;Es Vedr&#225;&#8217;. Your next stop is Cala Conta. Here you&#8217;ll find two sandy stretches backed by rocky terrain with a third smaller beach at the far end reached by steps hewn into the rock. The beach lies on the westernmost point of Ibiza and you can expect exceptionally clean waters and beautiful sunsets. Finally you&#8217;ll visit a 400-year-old typical country house. It&#8217;s a wonderful example of Ibizan architecture with thick white walls wooden roofs and small windows. It&#8217;s these traditional houses that give the island its name of &#8216;White Island&#8217;. The tour couldn&#8217;t finish in a better way with some delicious food tasting including &#8216;sobrasada&#8217; and &#8216;butifarra&#8217; sausages cheese dried fruit liqueurs and wine.
991366,85,Intro - ticket booklets,Great sights exciting nightlife and white sandy beaches &#8211; it&#8217;s easy to see why Ibiza attracts plenty of visitors. Your trip starts at Es Cubells a quiet bay with fantastic views of neighbouring Formentera. Next up is Cala D&acute;Hort a well-hidden cove with great views of the island of Es Vedr&#225;. Then it&#8217;s on to Cala Conta all white sandy beaches and exceptionally clean waters. Afterwards visit a 400-year-old country house. Think thick white walls wooden roofs and small windows. It&#8217;s because of these traditional houses that Ibiza is known as the &#8216;White Island&#8217;. Then enjoy some food tasting before heading back to ship - &#8216;sobrasada&#8217; and &#8216;butifarra&#8217; sausages cheese dried fruit liqueurs and wine are included.
991366,100,Excursion duration,4.5hrs
991366,118,Maximum Participation,75
991499,20,Unit Name,Treasures of Ibiza
991499,80,Intro,Discover a variety of Ibizan landscapes as you drive from the port into the countryside. On your first stop learn the art of pottery; you&#8217;ll get to watch a demonstration from one of the craftsmen before having the chance to do some souvenir shopping too. You&#8217;ll get a chance to visit Puig de Misa a hilltop church which was originally built as a fort. Next up is the treasures of Ibiza - Santa Eulalia a favourite haunt of painters enjoy a leisurely stroll along the new promenade lined with open-air cafes restaurants and art galleries. From here the tour takes you across fertile farmland over hills along cliffs and finally down to an unexpected placid sea. Just to let you know... you&#8217;ll get 1.5 hrs free time in Santa Eulalia. Don&#8217;t forget to bring your beach wear to enjoy the lovely beach of Santa Eulalia during your free time.
991499,100,Excursion duration,4hrs
991499,118,Maximum Participation,75
992493,20,Unit Name,Beach Transfer
992493,80,Intro,Enjoy a relaxing day on Ibiza&#8217;s famous Playa d&#8217;en Bossa beach. When you&#8217;re on holiday there&#8217;s nothing quite like sinking your toes into soft golden sand. And if lazing on the beach is your idea of the perfect day then the island&#8217;s longest stretch is the destination for you. You&#8217;ll leave the port on a coach and arrive at the beach in about half an hour. Set midway between Ibiza Town and the airport the pine-backed beach resort is one of the most popular in Ibiza. You&#8217;ll find umbrellas and sun-beds on the beach. And if you&#8217;re feeling energetic the watersport centres on the beach offers plenty of adventures from Catamaran sailing windsurfing and banana-boats to water skis diving and boat hiring. Finally when you&#8217;re feeling thirsty there are plenty of cafeterias to choose from serving ice creams and chilled drinks. Get ready to feel seriously relaxed.
992493,85,Intro - ticket booklets,Enjoy a relaxing day on Ibiza&#8217;s famous Playa d&#8217;en Bossa beach the island&#8217;s longest stretch. You&#8217;ll leave the port on a coach and arrive at the beach in about half an hour. Set midway between Ibiza Town and the airport the pine-backed beach resort is one of the most popular in Ibiza. You&#8217;ll find umbrellas and sunbeds on the beach. And if you&#8217;re feeling energetic the watersport centres on the beach offers plenty of adventures from Catamaran sailing windsurfing and banana-boats to water skis diving and boat hiring. Finally when you&#8217;re feeling thirsty there are plenty of cafeterias to choose from serving ice creams and chilled drinks.
992493,100,Excursion duration,4hrs
992493,118,Maximum Participation,200
992932,20,Unit Name,Discover The South
